antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'SEP_60', 'SEP_100', 'SEP_30'})",frozenset({'SEP_10'}),0.34017595307917886,0.8973607038123167,0.34017595307917886,1.0,1.1143790849673203,0.03491542040402129,inf,0.15555555555555553
"frozenset({'SEP_60', 'SEP_100', 'SEP_10'})",frozenset({'SEP_30'}),0.34017595307917886,0.6510263929618768,0.34017595307917886,1.0,1.5360360360360361,0.1187124293736724,inf,0.5288888888888889
"frozenset({'SEP_100', 'SEP_30', 'SEP_10'})",frozenset({'SEP_60'}),0.34017595307917886,0.4809384164222874,0.34017595307917886,1.0,2.0792682926829267,0.17657226890033623,inf,0.7866666666666665
"frozenset({'SEP_60', 'SEP_30'})","frozenset({'SEP_100', 'SEP_10'})",0.4809384164222874,0.34017595307917886,0.34017595307917886,0.7073170731707317,2.0792682926829267,0.17657226890033623,2.254398826979472,1.0
"frozenset({'SEP_60', 'SEP_10'})","frozenset({'SEP_100', 'SEP_30'})",0.4809384164222874,0.34017595307917886,0.34017595307917886,0.7073170731707317,2.0792682926829267,0.17657226890033623,2.254398826979472,1.0
"frozenset({'SEP_60', 'SEP_100'})","frozenset({'SEP_30', 'SEP_10'})",0.34017595307917886,0.6510263929618768,0.34017595307917886,1.0,1.5360360360360361,0.1187124293736724,inf,0.5288888888888889
"frozenset({'SEP_30', 'SEP_10'})","frozenset({'SEP_60', 'SEP_100'})",0.6510263929618768,0.34017595307917886,0.34017595307917886,0.5225225225225225,1.5360360360360361,0.1187124293736724,1.3818956454379463,1.0000000000000002
"frozenset({'SEP_100', 'SEP_30'})","frozenset({'SEP_60', 'SEP_10'})",0.34017595307917886,0.4809384164222874,0.34017595307917886,1.0,2.0792682926829267,0.17657226890033623,inf,0.7866666666666665
"frozenset({'SEP_100', 'SEP_10'})","frozenset({'SEP_60', 'SEP_30'})",0.34017595307917886,0.4809384164222874,0.34017595307917886,1.0,2.0792682926829267,0.17657226890033623,inf,0.7866666666666665
frozenset({'SEP_60'}),"frozenset({'SEP_100', 'SEP_30', 'SEP_10'})",0.4809384164222874,0.34017595307917886,0.34017595307917886,0.7073170731707317,2.0792682926829267,0.17657226890033623,2.254398826979472,1.0
frozenset({'SEP_30'}),"frozenset({'SEP_60', 'SEP_100', 'SEP_10'})",0.6510263929618768,0.34017595307917886,0.34017595307917886,0.5225225225225225,1.5360360360360361,0.1187124293736724,1.3818956454379463,1.0000000000000002
frozenset({'SEP_10'}),"frozenset({'SEP_60', 'SEP_100', 'SEP_30'})",0.8973607038123167,0.34017595307917886,0.34017595307917886,0.3790849673202614,1.1143790849673203,0.03491542040402129,1.0626639913566909,0.9999999999999998
frozenset({'SEP_100'}),"frozenset({'SEP_60', 'SEP_30', 'SEP_10'})",0.34017595307917886,0.4809384164222874,0.34017595307917886,1.0,2.0792682926829267,0.17657226890033623,inf,0.7866666666666665
"frozenset({'SF_C', 'SEP_100', 'SEP_30', 'SEP_10'})",frozenset({'SEP_60'}),0.02932551319648094,0.4809384164222874,0.02932551319648094,1.0,2.0792682926829267,0.015221747318994505,inf,0.5347432024169184
"frozenset({'SF_C', 'SEP_60', 'SEP_100', 'SEP_30'})",frozenset({'SEP_10'}),0.02932551319648094,0.8973607038123167,0.02932551319648094,1.0,1.1143790849673203,0.0030099500348294214,inf,0.10574018126888216
"frozenset({'SF_C', 'SEP_60', 'SEP_100', 'SEP_10'})",frozenset({'SEP_30'}),0.02932551319648094,0.6510263929618768,0.02932551319648094,1.0,1.5360360360360361,0.010233830118420037,inf,0.35951661631419946
"frozenset({'SF_C', 'SEP_60', 'SEP_30', 'SEP_10'})",frozenset({'SEP_100'}),0.04105571847507331,0.34017595307917886,0.02932551319648094,0.7142857142857144,2.099753694581281,0.015359345034872424,2.3093841642228754,0.5461773700305811
"frozenset({'SF_C', 'SEP_100', 'SEP_30'})","frozenset({'SEP_60', 'SEP_10'})",0.02932551319648094,0.4809384164222874,0.02932551319648094,1.0,2.0792682926829267,0.015221747318994505,inf,0.5347432024169184
"frozenset({'SF_C', 'SEP_100', 'SEP_10'})","frozenset({'SEP_60', 'SEP_30'})",0.02932551319648094,0.4809384164222874,0.02932551319648094,1.0,2.0792682926829267,0.015221747318994505,inf,0.5347432024169184
"frozenset({'SF_C', 'SEP_60', 'SEP_100'})","frozenset({'SEP_30', 'SEP_10'})",0.02932551319648094,0.6510263929618768,0.02932551319648094,1.0,1.5360360360360361,0.010233830118420037,inf,0.35951661631419946
